"product_id","product_name","category","price","stock_qty","supplier"
1,"Laptop Lenovo IdeaPad","Electronics",35000,10,"DataBlitz"
2,"Wireless Mouse Logitech","Accessories",850,45,"DataBlitz"
3,"USB-C Hub 7-in-1","Accessories",1200,30,"CDR King"
4,"Monitor 24-inch LG","Electronics",12500,8,"SM Appliance"
5,"Keyboard Mechanical RGB","Accessories",2500,25,"DataBlitz"
6,"Webcam HD 1080p","Accessories",1800,20,"CDR King"
7,"Printer Canon Inkjet","Electronics",8500,6,"SM Appliance"
8,"External SSD 500GB","Storage",3200,15,"DataBlitz"
9,"Headset HyperX Cloud","Accessories",3800,20,"DataBlitz"
10,"Tablet Samsung Galaxy","Electronics",18000,5,"SM Appliance"
11,"Mouse Pad XL","Accessories",450,50,"CDR King"
12,"USB Flash Drive 64GB","Storage",380,60,"CDR King"
13,"Laptop Stand Aluminum","Accessories",1500,18,"Lazada Seller"
14,"SD Card 128GB","Storage",680,40,"DataBlitz"
15,"Desktop PC Ryzen 5","Electronics",42000,3,"PC Express"
